ChartFormatSeriesLine	Format Series Lines...	False
ChartFormatSideWall	Format Side Wall...	False
ChartFormatTrendline	Format Trendline...	False
ChartFormatTrendlineAndSelect	Format Trendline...	False
ChartFormatTrendlineLabel	Format Trendline Label...	False
ChartFormatUpBars	Format Up Bars...	False
ChartFormatWalls	Format Walls...	False
ChartGridlineOptionsDialog	More Gridline Options...	False
ChartGridlines	Gridlines	False
ChartGridlinesGallery	Gridlines	False
ChartInsert	Chart...	True
ChartInsertDataField	Insert Data Label Field	False
ChartLayoutGallery	Quick Layout	False
ChartLegend	Legend	False
ChartLegendOptionsDialogDialog	More Legend Options...	False
ChartLines	Lines	False
ChartMajorGridlinesAdd	Add Major Gridlines	False
ChartMinorGridlinesAdd	Add Minor Gridlines	False
ChartPlotArea	Plot Area	False
ChartPlotAreaOptionsDialog	More Plot Area Options...	False
ChartPrimaryHorizontalAxis	Primary Horizontal Axis	False
ChartPrimaryHorizontalAxisOptionsDialog	More Primary Horizontal Axis Options...	True
ChartPrimaryHorizontalAxisTitle	Primary Horizontal Axis Title	False
ChartPrimaryHorizontalAxisTitleOptionsDialog	More Primary Horizontal Axis Title Options...	True
ChartPrimaryHorizontalGridlines	Primary Horizontal Gridlines	False
ChartPrimaryHorizontalGridlinesOptionsDialog	More Primary Horizontal Gridlines Options...	True
ChartPrimaryVerticalAxis	Primary Vertical Axis	False
ChartPrimaryVerticalAxisOptionsDialog	More Primary Vertical Axis Options...	True
ChartPrimaryVerticalAxisTitle	Primary Vertical Axis Title	False
ChartPrimaryVerticalAxisTitleOptionsDialog	More Primary Vertical Axis Title Options...	True
ChartPrimaryVerticalGridlines	Primary Vertical Gridlines	False
ChartPrimaryVerticalGridlinesOptionsDialog	More Primary Vertical Gridlines Options...	True
ChartRefresh	Refresh Data	False
ChartResetToMatchStyle	Reset to Match Style	False
ChartRotationOptionsDialog	More Rotation Options...	False
ChartSaveTemplates	Save as Template...	False
ChartSecondaryHorizontalAxis	Secondary Horizontal Axis	False
ChartSecondaryHorizontalAxisOption	More Secondary Horizontal Axis Options...	True
ChartSecondaryHorizontalAxisTitle	Secondary Horizontal Axis Title	False
ChartSecondaryHorizontalAxisTitleOptionsDialog	More Secondary Horizontal Axis Title Options...	True
ChartSecondaryHorizontalGridlines	Secondary Horizontal Gridlines	False
ChartSecondaryHorizontalGridlinesOptionsDialog	More Secondary Horizontal Gridlines Options...	True
ChartSecondaryVerticalAxis	Secondary Vertical Axis	False
ChartSecondaryVerticalAxisOptionsDialog	More Secondary Vertical Axis Options...	True
ChartSecondaryVerticalAxisTitle	Secondary Vertical Axis Title	False
ChartSecondaryVerticalAxisTitleOptionsDialog	More Secondary Vertical Axis Title Options...	True
ChartSecondaryVerticalGridlines	Secondary Vertical Gridlines	False
ChartSecondaryVerticalGridlinesOptionsDialog	More Secondary Vertical Gridlines Options...	True
ChartSeriesTypeChange	Change Series Chart Type...	False
ChartShowData	Edit Data...	False
ChartShowDataContextualMenu	Edit Data in Excel	False
ChartShowDataGrid	Edit Data	False
ChartSortAscending	Sort Smallest to Largest	False
ChartSortDescending	Sort Largest to Smallest	False
ChartSortReset	Reset to data	False
ChartSortRightClickMenu	Sort	False
ChartSourceDataContextualMenu	Select Data...	False
ChartStylesGallery	Quick Styles	False
ChartSwitchRowColumn	Switch Row/Column	False
ChartTitle	Chart Title	False
ChartTitleOptionsDialog	More Title Options...	False
ChartTrendline	Trendline	False
ChartTrendlineAdd	Add Trendline...	False
ChartTrendlineOptionsDialog	More Trendline Options...	False
ChartUpDownBars	Up/Down Bars	False
ChartUpDownBarsOptionsDialog	More Up/Down Bars Options...	False
ChartWall	Chart Wall	False
ChartWallOptionsDialog	More Walls Options...	False
ChartWaterfallSetAsTotal	Set as Total	False
ChartWaterfallUnsetTotal	Clear Total	False
CheckForUpdates	Check for Updates	True
ChineseTranslationDialog	Convert with Options...	True
ChunkLearningTools	Immersive Reader	
ChunkLearningToolsClose	Close	
CitationInsert	Insert Citation	True
CitationMark	Mark Citation...	True
ClassifyLabelProtect	Sensitivity	False
ClearContentsWord	Contents	True
ClearFormats	Clear Formats	True
ClearFormatting	Clear Formatting	True
ClearMenuWord	Clear	True
ClipArtInsert	Clip Art...	False
ClipArtInsertDialog	Online Pictures...	True
CloseLearningTools	Close Immersive Reader	False
ClosePane	Close	True
ClosePath	Close Path	False
CloudFixItHub		
CloudSkyDriveUpsellGroup		
Collaborate	Share	True
CollaborateActivity	Version History	False
CollapseAllHeadings	Collapse All Headings	True
CollapseHeading	Collapse Heading	False
ColorPickerChartLineStyles	Picture Border	False
ColorPickerFocusModeBackground	Background	False
ColorPickerLearningToolsWebView	Page Color	False
ColorPickerParagraphShading	Paragraph Shading	True
ColorPickerTableCellShading	Table Cell Shading	False
ColumnWidth	Column Width...	False
ColumnsDialog	More Columns...	True
ComAddInsDialog	COM Add-ins...	True
CombineCharacters	Yoko-Gumi	False
CompareAndCombine	Compare & Combine	True
ConflictViewClose	Close Conflict View	False
ConflictViewEnter	Resolve	False
ConflictsAccept	Accept My Change	False
ConflictsAcceptAllInDocument	Accept All Conflicting Changes in Document	False
ConflictsAcceptAndMoveToNext	Accept & Move to Next	False
ConflictsAcceptMenu	Accept My Change	False
ConflictsNext	Next	False
ConflictsPrevious	Previous	False
ConflictsReject	Reject My Change	False
ConflictsRejectAllInDocument	Reject All Conflicting Changes in Document	False
ConflictsRejectAndMoveToNext	Reject & Move to Next	False
ConflictsRejectMenu	Reject My Change	False
ConnectToNetworkDrive	Connect	True
ConsistencyCheck	Consistency Check...	True
ContactUs	Contact Support...	True
ContentControlBuildingBlockGallery	Building Block Gallery Content Control	True
ContentControlCheckBox	Check Box Content Control	True
ContentControlComboBox	Combo Box Content Control	True
ContentControlDate	Date Picker Content Control	True
ContentControlDropDownList	Drop-Down List Content Control	True
ContentControlPicture	Picture Content Control	True
ContentControlRemove	Remove Content Control	False
ContentControlRepeating	Repeating Section Content Control	True
ContentControlRichText	Rich Text Content Control	True
ContentControlText	Plain Text Content Control	True
ContentControlsGroup	Group	False
ContentControlsGroupMenu	Group	False
ContentControlsUngroup	Ungroup	False
ContentsAndIndex	Contents and Index	True
ContextMenu3DModel		True
ContextMenuActiveXControl		True
ContextMenuAddressBlock		True
ContextMenuBroadcast		True
ContextMenuCanvas		True
ContextMenuCanvasClassic		True
ContextMenuChartArea		True
ContextMenuChartAxis		True
ContextMenuChartAxisTitle		True
ContextMenuChartBackWall		True
ContextMenuChartDataLabel		True
ContextMenuChartDataLabels		True
ContextMenuChartDataPoint		True
ContextMenuChartDataSeries		True
ContextMenuChartDataTable		True
ContextMenuChartDisplayUnit		True
ContextMenuChartDownBars		True
ContextMenuChartDropLines		True
ContextMenuChartErrorBars		True
ContextMenuChartFloor		True
ContextMenuChartGridlines		True
ContextMenuChartHighLowLine		True
ContextMenuChartLeaderLines		True
ContextMenuChartLegend		True
ContextMenuChartLegendEntry		True
ContextMenuChartParetoLine		True
ContextMenuChartPlotArea		True
ContextMenuChartSeriesLine		True
ContextMenuChartSideWall		True
ContextMenuChartTitle		True
ContextMenuChartTrendline		True
ContextMenuChartTrendlineLabel		True
ContextMenuChartUpBars		True
ContextMenuChartWalls		True
ContextMenuCoAuthoringState		True
ContextMenuComment		True
ContextMenuConflicts		True
ContextMenuConnectorClassic		True
ContextMenuCurve		True
ContextMenuCurveNode		True
ContextMenuCurveSegment		True
ContextMenuDiagram		True
ContextMenuDocumentStructureNode		True
ContextMenuDrawnObject		True
ContextMenuDropCap		True
ContextMenuEndnote		True
ContextMenuEquation		True
ContextMenuField		True
ContextMenuFieldAutoSignatureList		True
ContextMenuFieldAutoTextList		True
ContextMenuFieldDisplay		True
ContextMenuFieldDisplayListNumbers		True
ContextMenuFieldForm		True
ContextMenuFloatingPicture		True
ContextMenuFooterArea		True
ContextMenuFootnote		True
ContextMenuFrame		True
ContextMenuFramesetBorder		True
ContextMenuGrammar		True
ContextMenuGrammarReading		True
ContextMenuGraphic		True
ContextMenuGreetingLine		True
ContextMenuHeaderArea		True
ContextMenuHeading		True
ContextMenuHeadingLinked		True
ContextMenuHeadingTable		True
ContextMenuHyperlink		True
ContextMenuInk		True
ContextMenuInkComment		True
ContextMenuInlineActiveXControl		True
ContextMenuInlineBusinessCard		True
ContextMenuInlinePicture		True
ContextMenuList		True
ContextMenuListTable		True
ContextMenuLockedReadingMode		True
ContextMenuMailMergeBarcode		True
ContextMenuNavigationPane		True
ContextMenuObjectEditPoint		True
ContextMenuObjectEditSegment		True
ContextMenuObjectsGroup		True
ContextMenuOfficePreviewHandlerWord		True
ContextMenuOleObject		True
ContextMenuOrganizationChart		True
ContextMenuPageNumberingOptions		True
ContextMenuPicture		True
ContextMenuPictureTable		True
ContextMenuReadOnlyMailHyperlink		True
ContextMenuReadOnlyMailList		True
ContextMenuReadOnlyMailListTable		True
ContextMenuReadOnlyMailPictureTable		True
ContextMenuReadOnlyMailTable		True
ContextMenuReadOnlyMailTableCell		True
ContextMenuReadOnlyMailTableWhole		True
ContextMenuReadOnlyMailText		True
ContextMenuReadOnlyMailTextTable		True
ContextMenuRevision		True
ContextMenuRichTextFont		True
ContextMenuRichTextFontParagraph		True
ContextMenuScriptAnchor		True
ContextMenuShape		True
ContextMenuShapeConnector		True
ContextMenuShapeFreeform		True
ContextMenuSmartArtBackground		True
ContextMenuSmartArtContentPane		True
ContextMenuSmartArtEdit1DShape		True
ContextMenuSmartArtEdit1DShapeText		True
ContextMenuSmartArtEditSmartArt		True
ContextMenuSmartArtEditText		True
ContextMenuSpell		True
ContextMenuTable		True
ContextMenuTableCell		True
ContextMenuTableWhole		True
ContextMenuTableWholeLinked		True
ContextMenuText		True
ContextMenuTextEdit		True
ContextMenuTextEffect		True
ContextMenuTextLinked		True
ContextMenuTextTable		True
ContextMenuXmlError		True
ContrastLess	Less Contrast	False
ContrastMore	More Contrast	False
ControlProperties	Properties	False
ControlRun	Control Run	True
ControlsGalleryClassic	Legacy Tools	True
ConvertTableToText	Convert to Text...	False
ConvertTextToTable	Convert Text to Table...	False
Copilot		
CopilotMenu	Copilot Menu	True
Copy	Copy	False
CopyAsPicture	Copy as Picture...	False
CopyPasteSettings	Copy & paste settings...	True
CopyText	Copy Text	False
CornerVertex	Corner Point	False
CoverPageInsertGallery	Cover Page	True
CoverPageRemove	Remove Current Cover Page	True
CreateDirectoryClassic	Tools Create Directory	True
CrossReferenceInsert	Cross-reference...	True
CssLinksEdit	Edit CSS Links	True
CurrentEraser		
CustomAutoTextGallery	Custom AutoText	True
CustomBibliographyGallery	Custom Bibliography	True
CustomCoverPageGallery	Custom Cover Page	True
CustomEquationsGallery	Custom Equation	True
CustomFooterGallery	Custom Footer	True
CustomGallery1	Custom Gallery 1	True
CustomGallery2	Custom Gallery 2	True
CustomGallery3	Custom Gallery 3	True
CustomGallery4	Custom Gallery 4	True
CustomGallery5	Custom Gallery 5	True
CustomHeaderGallery	Custom Header	True
CustomPageMargins	Custom Page Margins	True
CustomPageNumberBottomGallery	Custom Bottom of Page	True
CustomPageNumberGallery	Custom Page Number	True
CustomPageNumberTopGallery	Custom Top of Page	True
CustomQuickPartsGallery	Custom Quick Parts	True
CustomTableOfContentsGallery	Custom Table of Contents	True
CustomTablesGallery	Custom Tables	True
CustomTextBoxGallery	Custom Text Box	True
CustomWatermarkGallery	Custom Watermark	True
Cut	Cut	False
DarkModeOn	Switch Modes	True
DataFormAddRecord	Add	True
DataFormDeleteRecord	Delete	True
DataFormSource	Data Form	False
